cpu_0_idle,cpu_0_iowait,cpu_0_irq,cpu_0_nice,cpu_0_softirq,cpu_0_steal,cpu_0_system,cpu_0_user,cpu_1_idle,cpu_1_iowait,cpu_1_irq,cpu_1_nice,cpu_1_softirq,cpu_1_steal,cpu_1_system,cpu_1_user,cpu_2_idle,cpu_2_iowait,cpu_2_irq,cpu_2_nice,cpu_2_softirq,cpu_2_steal,cpu_2_system,cpu_2_user,cpu_3_idle,cpu_3_iowait,cpu_3_irq,cpu_3_nice,cpu_3_softirq,cpu_3_steal,cpu_3_system,cpu_3_user,memory_used_bytes,node_memory_Buffers_bytes,node_memory_Cached_bytes,node_memory_MemAvailable_bytes,node_memory_MemFree_bytes,node_memory_MemTotal_bytes
57.6,0.05,0.0,0.0,0.01,0.0,0.88,0.94,57.74,0.09,0.0,0.0,0.02,0.0,0.74,0.99,0.0,0.0,0.0,0.0,0.0,0.0,2.84,57.45,57.56,0.04,0.0,0.0,0.01,0.0,0.91,1.08,2692837376,110727168,5220728832,5630439424,358514688,8323276800
58.37,0.05,0.0,0.0,0.0,0.0,0.73,0.7,58.47,0.02,0.0,0.0,0.0,0.0,0.57,0.81,0.0,0.0,0.0,0.0,0.0,0.0,4.82,55.6,58.13,0.08,0.0,0.0,0.01,0.0,0.74,0.93,2685534208,110727168,5220732928,5637742592,365813760,8323276800
58.0,0.1,0.0,0.0,0.01,0.0,0.96,0.93,57.74,0.07,0.0,0.0,0.0,0.0,0.99,1.19,3.81,0.0,0.0,0.0,0.01,0.0,17.27,39.66,54.22,0.06,0.0,0.0,0.0,0.0,3.77,1.99,2845982720,110727168,5220732928,5477294080,205365248,8323276800
57.88,0.05,0.0,0.0,0.01,0.0,0.83,0.76,7.65,0.02,0.0,0.0,0.0,0.0,21.36,31.07,53.98,0.21,0.0,0.0,0.0,0.0,2.26,3.16,53.89,0.05,0.0,0.0,0.01,0.0,4.54,1.16,2816528384,110727168,5220732928,5506748416,234819584,8323276800
57.57,0.22,0.0,0.0,0.0,0.0,0.86,0.93,57.82,0.2,0.0,0.0,0.01,0.0,0.69,0.94,0.0,0.0,0.0,0.0,0.0,0.0,4.43,55.85,57.72,0.2,0.0,0.0,0.01,0.0,0.72,1.06,2681036800,110727168,5220732928,5642240000,357728256,8323276800
58.17,0.26,0.0,0.0,0.0,0.0,0.63,0.79,58.36,0.11,0.0,0.0,0.0,0.0,0.62,0.81,0.0,0.0,0.0,0.0,0.0,0.0,3.15,57.32,57.99,0.34,0.0,0.0,0.01,0.0,0.78,0.87,2675568640,110727168,5220732928,5647708160,363196416,8323276800
57.88,0.07,0.0,0.0,0.01,0.0,0.99,1.15,58.35,0.19,0.0,0.0,0.01,0.0,0.63,0.98,0.0,0.0,0.0,0.0,0.0,0.0,15.57,45.25,58.09,0.29,0.0,0.0,0.0,0.0,0.73,1.05,1794031616,110727168,5220737024,6529245184,1244712960,8323276800
58.16,0.1,0.0,0.0,0.01,0.0,0.77,0.72,57.95,0.15,0.0,0.0,0.01,0.0,0.79,0.81,0.0,0.0,0.0,0.0,0.0,0.0,24.49,35.83,57.81,0.39,0.0,0.0,0.0,0.0,0.64,0.93,2597273600,110727168,5220737024,5726003200,441487360,8323276800
57.95,0.38,0.0,0.0,0.0,0.0,0.67,0.67,57.63,0.12,0.0,0.0,0.0,0.0,0.93,1.05,0.0,0.0,0.0,0.0,0.0,0.0,4.51,55.83,57.83,0.28,0.0,0.0,0.01,0.0,0.65,0.96,2670866432,110727168,5220737024,5652410368,367894528,8323276800
58.42,0.08,0.0,0.0,0.0,0.0,0.87,0.96,58.18,0.3,0.0,0.0,0.01,0.0,0.87,1.11,0.0,0.0,0.0,0.0,0.0,0.0,3.4,57.61,58.41,0.37,0.0,0.0,0.0,0.0,0.56,1.12,2661535744,110727168,5220737024,5661741056,377225216,8323276800
58.8,0.22,0.0,0.0,0.01,0.0,0.76,0.89,58.58,0.13,0.0,0.0,0.0,0.0,0.87,1.1,0.0,0.0,0.0,0.0,0.0,0.0,13.65,47.83,58.24,0.37,0.0,0.0,0.01,0.0,0.86,1.3,2594877440,110727168,5220737024,5728399360,443883520,8323276800
57.59,0.39,0.0,0.0,0.0,0.0,0.93,0.89,58.25,0.2,0.0,0.0,0.01,0.0,0.62,0.77,0.0,0.0,0.0,0.0,0.0,0.0,26.15,34.21,58.45,0.37,0.0,0.0,0.0,0.0,0.48,0.54,1984790528,110727168,5220741120,6338486272,1053966336,8323276800
