cpu_0_idle,cpu_0_iowait,cpu_0_irq,cpu_0_nice,cpu_0_softirq,cpu_0_steal,cpu_0_system,cpu_0_user,cpu_1_idle,cpu_1_iowait,cpu_1_irq,cpu_1_nice,cpu_1_softirq,cpu_1_steal,cpu_1_system,cpu_1_user,cpu_2_idle,cpu_2_iowait,cpu_2_irq,cpu_2_nice,cpu_2_softirq,cpu_2_steal,cpu_2_system,cpu_2_user,cpu_3_idle,cpu_3_iowait,cpu_3_irq,cpu_3_nice,cpu_3_softirq,cpu_3_steal,cpu_3_system,cpu_3_user,memory_used_bytes,node_memory_Buffers_bytes,node_memory_Cached_bytes,node_memory_MemAvailable_bytes,node_memory_MemFree_bytes,node_memory_MemTotal_bytes
58.45,0.07,0.0,0.0,0.0,0.0,0.61,0.64,37.24,0.05,0.0,0.0,0.0,0.0,4.78,17.94,58.28,0.06,0.0,0.0,0.01,0.0,0.71,0.78,20.69,0.01,0.0,0.0,0.01,0.0,21.17,18.32,2087051264,116023296,5398368256,6236225536,837808128,8323276800
57.93,0.13,0.0,0.0,0.01,0.0,0.77,1.18,0.0,0.0,0.0,0.0,0.0,0.0,5.37,55.4,58.23,0.13,0.0,0.0,0.0,0.0,0.81,0.92,57.99,0.19,0.0,0.0,0.01,0.0,0.8,1.16,2092736512,116023296,5398368256,6230540288,832122880,8323276800
58.51,0.05,0.0,0.0,0.0,0.0,0.61,0.52,0.0,0.0,0.0,0.0,0.0,0.0,19.97,40.28,58.04,0.07,0.0,0.0,0.0,0.0,0.71,0.89,58.17,0.12,0.0,0.0,0.0,0.0,0.66,0.77,1557504000,116023296,5398372352,6765772800,1367351296,8323276800
57.61,0.05,0.0,0.0,0.0,0.0,0.97,1.09,0.0,0.0,0.0,0.0,0.0,0.0,4.3,56.04,58.19,0.07,0.0,0.0,0.01,0.0,0.62,0.85,58.18,0.09,0.0,0.0,0.01,0.0,0.64,0.8,1562726400,116023296,5398372352,6760550400,1362128896,8323276800
58.05,0.06,0.0,0.0,0.01,0.0,0.82,0.75,36.64,0.08,0.0,0.0,0.0,0.0,7.26,16.01,58.39,0.05,0.0,0.0,0.0,0.0,0.62,0.69,21.07,0.02,0.0,0.0,0.0,0.0,12.65,26.37,2210332672,116023296,5398372352,6112944128,714539008,8323276800
58.29,0.08,0.0,0.0,0.0,0.0,0.69,0.6,58.4,0.03,0.0,0.0,0.01,0.0,0.62,0.63,57.54,0.05,0.0,0.0,0.01,0.0,1.0,1.16,0.0,0.0,0.0,0.0,0.01,0.0,8.93,51.4,2087264256,116023296,5398376448,6236012544,837607424,8323276800
57.38,0.07,0.0,0.0,0.01,0.0,1.19,0.86,40.44,0.04,0.0,0.0,0.01,0.0,9.5,9.87,57.69,0.09,0.0,0.0,0.0,0.0,0.88,0.88,17.26,0.01,0.0,0.0,0.0,0.0,17.25,25.58,1978392576,116023296,5398376448,6344884224,946458624,8323276800
57.79,0.08,0.0,0.0,0.0,0.0,0.91,0.82,4.08,0.0,0.0,0.0,0.0,0.0,8.36,47.76,57.91,0.13,0.0,0.0,0.01,0.0,0.74,0.79,53.25,0.03,0.0,0.0,0.0,0.0,4.82,1.66,1379983360,116023296,5398376448,6943293440,1544859648,8323276800
57.94,0.08,0.0,0.0,0.01,0.0,0.82,0.69,50.52,0.04,0.0,0.0,0.01,0.0,3.85,5.2,7.22,0.0,0.0,0.0,0.0,0.0,13.44,39.53,57.96,0.08,0.0,0.0,0.01,0.0,0.79,0.7,1791516672,116023296,5398376448,6531760128,1133293568,8323276800
58.36,0.07,0.0,0.0,0.0,0.0,0.61,0.69,55.55,0.05,0.0,0.0,0.0,0.0,1.37,2.87,38.03,0.03,0.0,0.0,0.01,0.0,9.05,12.9,22.73,0.02,0.0,0.0,0.0,0.0,6.96,30.37,2093449216,116023296,5398376448,6229827584,831361024,8323276800
58.45,0.1,0.0,0.0,0.0,0.0,0.7,0.99,58.28,0.11,0.0,0.0,0.0,0.0,0.75,1.17,58.21,0.08,0.0,0.0,0.0,0.0,0.89,1.15,0.0,0.0,0.0,0.0,0.0,0.0,8.17,52.76,2124902400,116023296,5398376448,6198374400,799907840,8323276800
57.65,0.08,0.0,0.0,0.01,0.0,1.03,0.65,58.3,0.05,0.0,0.0,0.01,0.0,0.64,0.45,31.65,0.03,0.0,0.0,0.01,0.0,18.33,9.7,25.8,0.04,0.0,0.0,0.0,0.0,18.77,15.34,2172801024,116023296,5398376448,6150475776,752017408,8323276800
58.17,0.1,0.0,0.0,0.0,0.0,0.67,0.79,58.01,0.09,0.0,0.0,0.0,0.0,0.73,0.87,0.0,0.0,0.0,0.0,0.0,0.0,20.38,39.98,57.76,0.06,0.0,0.0,0.01,0.0,0.86,1.05,1986809856,116023296,5398351872,6336466944,935964672,8323276800
58.0,0.05,0.0,0.0,0.01,0.0,0.73,0.82,58.0,0.04,0.0,0.0,0.01,0.0,0.64,1.04,0.0,0.0,0.0,0.0,0.0,0.0,3.5,56.8,57.91,0.09,0.0,0.0,0.01,0.0,0.77,0.93,2085502976,116023296,5398355968,6237773824,837267456,8323276800
57.85,0.04,0.0,0.0,0.0,0.0,0.76,0.85,57.54,0.11,0.0,0.0,0.01,0.0,0.91,0.98,0.0,0.0,0.0,0.0,0.0,0.0,20.1,40.2,57.75,0.07,0.0,0.0,0.01,0.0,0.82,0.92,2090942464,116023296,5398355968,6232334336,831811584,8323276800
