cpu_0_idle,cpu_0_iowait,cpu_0_irq,cpu_0_nice,cpu_0_softirq,cpu_0_steal,cpu_0_system,cpu_0_user,cpu_1_idle,cpu_1_iowait,cpu_1_irq,cpu_1_nice,cpu_1_softirq,cpu_1_steal,cpu_1_system,cpu_1_user,cpu_2_idle,cpu_2_iowait,cpu_2_irq,cpu_2_nice,cpu_2_softirq,cpu_2_steal,cpu_2_system,cpu_2_user,cpu_3_idle,cpu_3_iowait,cpu_3_irq,cpu_3_nice,cpu_3_softirq,cpu_3_steal,cpu_3_system,cpu_3_user,memory_used_bytes,node_memory_Buffers_bytes,node_memory_Cached_bytes,node_memory_MemAvailable_bytes,node_memory_MemFree_bytes,node_memory_MemTotal_bytes
58.36,0.05,0.0,0.0,0.0,0.0,0.8,0.83,0.0,0.0,0.0,0.0,0.0,0.0,1.45,59.21,57.88,0.09,0.0,0.0,0.0,0.0,0.95,1.15,58.25,0.09,0.0,0.0,0.01,0.0,0.73,0.96,2356649984,110727168,5220777984,5966626816,682102784,8323276800
57.58,0.24,0.0,0.0,0.0,0.0,1.0,0.73,44.52,0.14,0.0,0.0,0.0,0.0,14.54,0.43,13.67,0.21,0.0,0.0,0.0,0.0,23.76,22.48,57.63,0.25,0.0,0.0,0.01,0.0,0.93,0.77,2892980224,106577920,5107642368,5430296576,282054656,8323276800
58.08,0.11,0.0,0.0,0.0,0.0,0.63,0.82,57.34,0.28,0.0,0.0,0.0,0.0,0.96,1.11,0.0,0.0,0.0,0.0,0.0,0.0,6.28,54.04,57.71,0.44,0.0,0.0,0.01,0.0,0.73,0.81,2694938624,106577920,5107646464,5628338176,480108544,8323276800
58.45,0.07,0.0,0.0,0.01,0.0,0.61,0.58,58.4,0.08,0.0,0.0,0.01,0.0,0.54,0.78,0.0,0.0,0.0,0.0,0.0,0.0,28.58,31.78,57.99,0.08,0.0,0.0,0.01,0.0,0.8,0.98,2412376064,110727168,5220745216,5910900736,626130944,8323276800
57.59,0.39,0.0,0.0,0.0,0.0,0.93,0.89,58.25,0.2,0.0,0.0,0.01,0.0,0.62,0.77,0.0,0.0,0.0,0.0,0.0,0.0,26.15,34.21,58.45,0.37,0.0,0.0,0.0,0.0,0.48,0.54,1984790528,110727168,5220741120,6338486272,1053966336,8323276800
57.14,0.04,0.0,0.0,0.01,0.0,1.1,1.19,51.27,0.05,0.0,0.0,0.01,0.0,2.21,6.07,6.37,0.0,0.0,0.0,0.0,0.0,0.18,53.74,57.56,0.09,0.0,0.0,0.01,0.0,0.85,1.09,1748836352,110727168,5220724736,6574440448,1289936896,8323276800
57.88,0.07,0.0,0.0,0.01,0.0,0.99,1.15,58.35,0.19,0.0,0.0,0.01,0.0,0.63,0.98,0.0,0.0,0.0,0.0,0.0,0.0,15.57,45.25,58.09,0.29,0.0,0.0,0.0,0.0,0.73,1.05,1794031616,110727168,5220737024,6529245184,1244712960,8323276800
57.55,0.07,0.0,0.0,0.01,0.0,0.99,1.01,57.9,0.08,0.0,0.0,0.01,0.0,0.77,0.85,0.0,0.0,0.0,0.0,0.0,0.0,25.21,35.09,58.35,0.07,0.0,0.0,0.0,0.0,0.67,0.59,2730893312,106577920,5107662848,5592383488,444121088,8323276800
58.14,0.05,0.0,0.0,0.0,0.0,0.75,0.73,43.65,0.05,0.0,0.0,0.0,0.0,3.51,12.8,14.63,0.01,0.0,0.0,0.0,0.0,4.09,41.41,57.98,0.08,0.0,0.0,0.01,0.0,0.76,0.92,2689196032,110727168,5220786176,5634080768,353726464,8323276800
62.26,0.07,0.0,0.0,0.0,0.0,1.12,0.96,62.52,0.1,0.0,0.0,0.01,0.0,0.98,0.88,63.18,0.04,0.0,0.0,0.0,0.0,0.55,0.72,0.0,0.0,0.0,0.0,0.0,0.0,13.06,52.21,2672533504,106577920,5107884032,5650743296,485466112,8323276800
58.427,0.000,6.508,0.000,6.230,0.000,10.840,0.588,38.975,0.830,0.000,0.000,0.462,9.584,7.173,17.207,4.536,0.000,0.000,0.485,0.000,13.520,28.217,45.721,100.845,0.000,13.251,3.995,3.720,5.970,0.000,0.000,2142709905.970,112575045.856,5292006962.795,6180566869.746,824331194.064,8323276802.303
59.703,0.000,4.707,2.509,0.461,13.333,0.000,1.694,36.312,0.000,0.000,7.390,0.000,1.680,0.000,12.049,49.916,0.000,0.000,3.199,0.000,0.000,4.668,5.501,32.276,0.257,3.546,0.000,1.343,0.000,5.513,10.000,2140922297.034,109570264.694,5236790786.842,6182354512.500,895226215.786,8323276794.897
57.994,4.050,0.000,0.000,0.000,0.000,8.137,0.000,52.958,4.534,6.917,0.000,0.000,2.673,1.671,14.270,62.591,0.000,1.181,0.000,0.000,10.759,12.635,3.018,45.150,0.000,0.000,12.996,0.000,0.132,8.043,11.162,2229033158.588,110293799.097,5279875320.552,6094243646.756,778218892.018,8323276804.048
58.101,0.000,0.000,2.673,2.187,4.000,3.701,0.000,54.001,5.916,0.000,0.000,0.000,3.596,0.000,0.000,35.671,0.000,5.500,0.000,5.571,0.000,5.800,19.038,52.475,0.000,1.923,3.757,0.000,0.000,0.000,5.131,1773027068.568,115235401.777,5426972741.237,6550249723.622,1094329165.786,8323276803.292
56.689,9.100,8.376,0.000,0.000,0.000,0.000,0.862,35.458,5.443,1.734,0.000,0.000,10.500,0.000,19.297,38.388,6.049,3.775,0.000,1.657,4.084,3.105,13.280,82.391,0.000,1.775,1.986,3.293,0.990,2.252,0.000,1843681496.445,118622969.188,5542028116.065,6479595298.564,902611920.856,8323276801.745
